1043,ALLIANCE AIR,THANE,RAJKOT,21/5/2020,23:45,7893
1014,TRUJET,MEERUT,KOLKATA,8/7/2020,9:4,6075
1001,ALLIANCE AIR,AGRA,VARANASI,25/6/2020,9:38,9220
1027,SPICEJET,BANGALORE,PIMPRI-CHINCHWAD,22/7/2020,17:37,9344
1005,TRUJET,KOLKATA,NAGPUR,16/5/2020,15:29,4322
1029,ALLIANCE AIR,VARANASI,NASHIK,3/5/2020,11:44,9430
1040,INDIGO,DELHI,CHENNAI,6/6/2020,18:12,4311
1023,SPICEJET,SURAT,MEERUT,30/6/2020,21:15,4770
1024,AIRASIA INDIA,LUCKNOW,LUCKNOW,14/5/2020,8:36,7573
1007,QATAR AIRWAYS,PATNA,DELHI,13/5/2020,14:42,8960
1011,AIR INDIA EXPRESS,BHOPAL,FARIDABAD,2/5/2020,22:24,5542
1013,INDIGO,BANGALORE,GHAZIABAD,25/7/2020,15:25,6178
1030,TRUJET,PUNE,GHAZIABAD,25/5/2020,12:47,7475
1019,VISTARA,MUMBAI,KOLKATA,26/6/2020,4:48,9955
1012,GOAIR,RAJKOT,THANE,14/6/2020,9:58,6938
1034,AIR INDIA EXPRESS,PIMPRI-CHINCHWAD,PUNE,7/6/2020,7:24,5891
1041,QATAR AIRWAYS,NASHIK,VADODARA,23/6/2020,22:7,6694
1010,GOAIR,VARANASI,BANGALORE,17/5/2020,23:26,9599
1006,SAUDI AIRLINES SAUDIA,PIMPRI-CHINCHWAD,CHENNAI,2/5/2020,0:14,9124
1028,ETIHAD AIRWAYS,BANGALORE,KALYAN-DOMBIVLI,16/5/2020,18:3,5585
1049,ETIHAD AIRWAYS,KOLKATA,INDORE,5/7/2020,19:1,6588
1045,AIRASIA INDIA,MUMBAI,BHOPAL,11/5/2020,18:12,9202
1020,ALLIANCE AIR,PIMPRI-CHINCHWAD,MEERUT,6/5/2020,5:42,8179
1037,AIR INDIA,FARIDABAD,MEERUT,19/5/2020,8:7,9608
1021,INDIGO,VISAKHAPATNAM,THANE,29/5/2020,23:2,7922
1035,INDIGO,LUDHIANA,JAIPUR,7/7/2020,18:3,5601
1033,VISTARA,LUDHIANA,MEERUT,11/7/2020,18:23,7137
1015,AIR INDIA,VADODARA,BHOPAL,22/7/2020,3:15,6302
1000,QATAR AIRWAYS,LUCKNOW,DELHI,23/6/2020,7:44,6266
1004,TRUJET,PUNE,JAIPUR,29/6/2020,21:59,8671
1002,AIR INDIA,KANPUR,NAGPUR,16/6/2020,8:56,8411
1038,SAUDI AIRLINES SAUDIA,AGRA,VISAKHAPATNAM,1/5/2020,2:29,5139
1031,AIRASIA INDIA,AGRA,MEERUT,26/5/2020,17:24,5051
1042,SPICEJET,INDORE,JAIPUR,28/5/2020,22:30,7089
1050,GOAIR,BANGALORE,INDORE,7/6/2020,4:18,6409
1026,AIRASIA INDIA,BHOPAL,VASAI-VIRAR,12/5/2020,12:6,7228
1046,ALLIANCE AIR,NASHIK,KOLKATA,11/5/2020,8:1,7436
1008,AIRASIA INDIA,AHMEDABAD,KALYAN-DOMBIVLI,27/7/2020,6:16,4066
1039,AIR INDIA,BANGALORE,RAJKOT,20/5/2020,2:51,4481
1047,AIRASIA INDIA,MUMBAI,NAGPUR,6/6/2020,17:23,4443
1036,ALLIANCE AIR,HYDERABAD,JAIPUR,7/5/2020,18:42,9860
1025,ALLIANCE AIR,KOLKATA,AGRA,8/5/2020,17:35,5111
1016,INDIGO,GHAZIABAD,KALYAN-DOMBIVLI,20/7/2020,6:4,9789
1009,ALLIANCE AIR,HYDERABAD,VADODARA,26/7/2020,23:9,8824
1048,INDIGO,PATNA,SURAT,18/5/2020,2:38,5339
1032,ALLIANCE AIR,NASHIK,HYDERABAD,28/7/2020,21:56,8575
